arm,iv,seed,task,mean,q10,q50,q90,within,between,star,star_W,bias
LR,none,1,54,-3.0828775430723,-5.291066312550083,-3.368015631231709,-0.1898786304686535,4.781426233889305,4.714126349712752,-2.8520114944763604,-2.8306646383648744,-0.0213468561114859
LR,none,1,55,-2.880232740261533,-5.009722674234397,-3.3916839983197544,-0.0143891996356448,4.855092056932885,4.833090452560143,-2.816082566790094,-2.7950927843966498,-0.0209897823934443
LR,none,1,56,-2.9581132312940785,-5.5155394135832605,-3.467187960252321,0.0307834253936076,5.0239237759038,5.529839767427535,-2.847615598687719,-2.821565771629852,-0.0260498270578682
LR,none,1,57,-2.965544844608037,-5.496641862251783,-3.119752015019629,0.0511171523517022,5.12827343803324,5.19593539497151,-2.8482697064694222,-2.819739111616204,-0.0285305948532186
LR,none,1,58,-2.848198574448811,-5.482571834229845,-2.7858844202648205,0.1025532679128305,5.164574048687683,5.73425582859222,-2.8034999397303637,-2.775855140241155,-0.0276447994892077
LR,none,1,59,-3.1804348410331853,-6.4083086033071455,-3.416807114470482,-0.0893332784476847,5.127834582001324,7.113742154690628,-2.9434932102314173,-2.913445136396212,-0.0300480738352052
LR,none,1,60,-3.042353050953845,-5.607380387515796,-3.2254261694171427,-0.2022858579561486,5.114534846242916,4.6215819726115,-2.921109840308682,-2.888728626507701,-0.0323812138009816
LR,none,1,61,-3.0774177379025907,-5.900850861300714,-3.344819064054307,-0.0800175205609666,5.28502531099115,5.326662698524401,-2.9873515544542544,-2.9513819587072443,-0.0359695957470103
LR,none,1,62,-3.04393959118362,-5.879638390778801,-3.1712794241749327,0.7126257116468294,5.105428908845587,6.076173068013549,-2.945277162478244,-2.911915636145216,-0.0333615263330284
LR,none,1,63,-2.7836862436967658,-5.338257348616331,-2.609698277904013,0.0998635847653633,5.4199445726391176,5.825861724611259,-2.873032526678476,-2.834672479785118,-0.0383600468933582
LR,none,1,64,-3.307966687223873,-5.9689600657578445,-3.5554811564049933,-0.2432879669182157,5.731170687014584,6.4841241531087,-2.978582721578801,-2.9360628672949103,-0.0425198542838916
LR,none,1,65,-3.1964130849061907,-5.795859201400333,-3.692239998166445,0.0931790201431438,5.53272090542042,6.041173032655453,-3.044471116834337,-2.996541019245649,-0.0479300975886872
LR,none,1,66,-3.149460082775985,-6.000459373713758,-3.4067062405668187,-0.1777164643353627,5.636488674581581,5.981750054028646,-3.0712350018247485,-3.0201192835527,-0.0511157182720489
LR,none,1,67,-3.3046538454436085,-6.722771847805928,-3.4903865411781503,-0.0663865011789213,5.592770582455916,6.261435443055566,-3.0819470728898666,-3.031105148552429,-0.0508419243374373
LR,none,1,68,-3.125039825770587,-5.94766228638944,-3.443943031118267,-0.2804074146940323,5.710440064904845,6.830636689285922,-3.1746810113752475,-3.1192740522438878,-0.05540695913136
LR,none,1,69,-3.3331705873830657,-6.229218731281624,-3.8489564334895463,0.3485131601865142,6.073075118471495,6.862019324548388,-3.249456166637856,-3.190511497872676,-0.0589446687651798
LR,none,1,70,-3.197518617160082,-6.447103121256964,-3.461757454961278,0.0555398082716742,5.940696080109507,6.054854597173173,-3.2825673061881413,-3.218700819636581,-0.0638664865515602
